term	valence	arousal	dominance
ancient greek	-0.066	-0.186	-0.200
ancient history	0.172	-0.136	0.300
ancient rome	-0.084	-0.088	0.276
ancient times	0.000	-0.080	-0.206
and all	-0.034	-0.036	-0.104
and change	0.124	-0.074	-0.074
and counting	0.016	0.186	-0.112
and crap	-0.206	-0.134	-0.186
and everything	0.266	-0.216	0.100
and finally	0.188	-0.050	0.138
and how	0.096	-0.016	-0.322
and now	-0.134	-0.208	-0.334
and so	-0.066	-0.344	-0.224
and that	-0.066	-0.186	-0.250
and whatnot	-0.178	-0.214	-0.026
and yet	-0.134	-0.148	-0.074
andy warhol	0.068	-0.034	0.250
anecdotal evidence	0.034	0.234	0.214
anger management	-0.370	0.424	0.000
angle for	-0.194	-0.090	-0.466
angry mob	-0.794	0.380	-0.072
animal kingdom	0.366	0.194	0.434
animal lover	0.704	-0.060	0.134
animal rights	0.266	0.210	0.134
animated series	0.484	0.318	0.130
anime series	0.376	0.162	0.052
ankle bracelet	0.134	0.080	-0.178
annual meeting	0.072	0.030	0.334
annual report	0.266	0.054	0.070
answer back	-0.034	0.076	-0.166
answer for	0.276	-0.090	-0.104
answer to	-0.032	0.000	-0.162
answering machine	0.064	0.152	0.218
anxiety attack	-0.750	0.970	-0.500
anxiety disorder	-0.762	0.920	-0.612
any day	0.066	-0.152	0.034
any longer	-0.064	0.044	-0.132
any more	-0.068	-0.190	0.000
any old	-0.656	-0.080	-0.452
any time	-0.116	-0.160	0.240
anything but	-0.312	-0.230	-0.322
anything else	-0.166	-0.156	-0.414
anything goes	0.000	-0.104	-0.088
anytime soon	0.276	0.040	-0.166
anywhere else	-0.276	-0.230	0.000
apart from	-0.300	-0.116	-0.134
apartment building	0.310	-0.108	0.334
apartment complex	0.104	-0.068	-0.032
app store	-0.048	0.190	0.102
appeal to	-0.068	-0.036	-0.186
apple cider	0.260	-0.096	-0.074
apple juice	0.498	-0.427	-0.222
apple pie	0.464	-0.354	0.034
apple sauce	0.162	-0.276	-0.066
apple tree	0.556	-0.430	0.048
apply for	0.260	0.104	-0.096
april fool	-0.468	-0.208	-0.656
apropos of	0.074	-0.058	-0.064
arcade game	0.138	0.138	0.322
area code	-0.034	-0.112	0.066
argue over	-0.400	0.000	-0.096
argue with	-0.556	0.262	-0.100
arm chair	0.034	-0.382	-0.260
arm up	-0.258	0.094	-0.104
arm wrestling	0.230	0.590	0.300
armed forces	-0.032	0.404	0.580
armed robbery	-0.378	0.388	-0.162
arms race	-0.062	0.296	0.222
arranged marriage	0.104	0.028	0.384
arrest warrant	-0.710	0.474	-0.300
arrested development	-0.282	0.436	0.064
arrive at	0.068	-0.104	0.148
art book	0.310	-0.338	0.172
art class	0.296	-0.120	0.334
art deco	-0.034	0.048	-0.138
art director	0.420	0.048	0.166
art form	0.024	0.000	0.108
art gallery	0.434	-0.208	0.286
art history	0.366	-0.254	0.286
art museum	0.354	-0.200	0.400
art school	0.464	-0.150	0.178
art teacher	0.334	-0.014	0.104
artificial intelligence	0.166	0.620	0.358
as always	0.226	-0.242	0.038
as follows	0.154	-0.286	0.000
as for	-0.386	-0.350	-0.076
as from	-0.222	-0.296	-0.112
as if	-0.206	-0.366	-0.376
as is	-0.380	-0.338	-0.192
as much	0.000	-0.232	0.000
as of	-0.128	-0.296	-0.250
as per	-0.226	-0.342	-0.242
as possible	0.366	0.036	0.162
as such	-0.100	-0.228	-0.096
as though	-0.266	-0.190	0.000
as to	-0.166	-0.302	-0.200
as usual	0.222	-0.366	-0.116
as well	0.434	-0.344	0.166
as yet	-0.134	-0.298	-0.242
ash tray	-0.434	-0.224	-0.344
ash wednesday	-0.034	-0.100	-0.066
asian american	0.000	0.148	0.032
aside from	-0.206	-0.220	-0.034
ask about	-0.142	-0.086	-0.066
ask around	0.124	0.102	-0.234
ask for	-0.032	-0.132	0.000
ask in	-0.166	-0.166	0.130
ask to	0.068	-0.066	-0.112
asking price	-0.036	-0.178	0.100
aspect ratio	0.028	-0.120	0.358
assault rifle	-0.612	0.546	-0.050
assembly line	0.000	-0.064	0.206
asset management	-0.096	0.078	0.548
assistant coach	0.034	0.192	0.068
assistant director	0.376	0.350	0.500
assistant professor	0.214	0.042	0.400
assisted living	-0.076	-0.124	0.206
associate professor	0.188	0.196	0.656
associate with	0.108	0.262	0.136
associated press	0.138	-0.032	-0.034
assuming that	-0.178	-0.108	-0.112
asthma attack	-0.580	0.558	-0.290
aston martin	0.172	0.172	0.134
at all	-0.064	-0.178	0.000
at bat	0.062	-0.030	-0.066
at bay	-0.428	-0.234	0.000
at best	0.344	-0.016	0.258
at bottom	-0.466	-0.170	-0.400
at ease	0.064	-0.370	-0.242
at fault	-0.538	-0.276	-0.642
at first	0.130	-0.130	0.296
at gunpoint	-0.710	0.410	-0.194
at hand	0.142	0.070	-0.244
at heart	0.466	0.136	0.034
at home	0.500	-0.394	0.194
at issue	-0.406	0.112	-0.414
at it	-0.166	-0.150	-0.112
at large	-0.200	-0.030	0.482
at last	-0.034	-0.276	-0.378
at least	-0.218	-0.178	-0.296
at length	-0.130	-0.124	-0.096
at liberty	0.344	-0.094	0.400
at most	-0.032	-0.048	0.200
at night	0.000	-0.148	0.048
at noon	-0.034	-0.230	-0.178
at odds	-0.200	0.000	-0.230
at once	0.038	-0.206	-0.134
at one	-0.138	-0.120	-0.152
at peace	0.484	-0.566	-0.108
at present	0.400	-0.042	0.300
at random	-0.354	-0.136	-0.186
at rest	0.068	-0.572	-0.226
at risk	-0.414	0.130	-0.308
at school	0.300	-0.014	0.068
at sea	-0.032	-0.030	0.212
at stake	-0.334	0.132	-0.250
at that	-0.276	-0.204	-0.034
at times	-0.260	-0.170	0.096
at will	0.334	0.048	0.108
at work	0.250	0.030	0.286
at worst	-0.734	-0.086	-0.344
atlantic canada	0.112	0.042	0.206
atlantic ocean	0.068	0.016	0.062
atlantic provinces	0.172	0.016	0.266
atomic bomb	-0.654	0.516	0.094
atta girl	0.260	0.046	-0.032
attach to	0.178	0.032	-0.200
attend to	0.290	-0.016	0.036
attention seeker	-0.096	0.298	0.000
attention span	-0.266	0.302	-0.038
attention whore	-0.312	0.462	-0.072
attorney general	0.068	0.032	0.518
attribute to	0.134	0.084	-0.036
attuned to	0.000	0.090	0.068
auction house	-0.186	0.224	0.066
audio book	0.630	-0.262	0.266
augmented reality	0.194	0.484	0.586
aurora borealis	0.032	0.138	0.096
auto insurance	-0.134	0.016	0.242
average joe	0.142	-0.184	-0.166
aw shucks	-0.194	-0.146	-0.296
awake to	0.076	0.206	0.036
away from	-0.300	-0.092	-0.266
away game	-0.160	0.190	0.124
awe inspiring	0.500	0.196	0.428
awesome sauce	0.740	0.144	0.580
aye aye	-0.080	0.060	-0.234
aye man	-0.034	0.052	-0.222
baby bird	0.392	-0.334	-0.872
baby blue	0.066	-0.186	-0.334
baby boom	0.130	0.130	-0.226
baby boomer	-0.068	-0.046	-0.142
baby boy	0.434	0.060	-0.850
baby bump	-0.094	0.130	-0.172
baby clothes	0.482	-0.394	-0.130
baby face	0.370	-0.192	-0.266
baby father	0.226	0.000	-0.104
baby food	0.250	-0.354	-0.174
baby girl	0.656	-0.088	-1.000
baby goat	0.484	0.064	-0.904
baby oil	0.108	-0.478	-0.218
baby pictures	0.620	-0.240	-0.032
baby powder	0.366	-0.300	0.124
baby shoes	0.420	-0.282	-0.206
baby shower	0.580	-0.018	-0.072
baby sitter	0.270	-0.158	-0.108
baby sitting	0.322	-0.330	-0.358
baby talk	0.608	-0.148	-0.300
baby teeth	0.312	-0.234	-0.166
baby up	-0.036	-0.136	-0.358
bachelor party	0.104	0.302	0.300
bachelor's degree	0.434	0.170	0.448
bachelorette party	0.500	0.360	0.000
back alley	-0.334	0.072	-0.234
back atcha	0.068	0.028	-0.218
back away	-0.370	0.100	-0.414
back burner	-0.250	-0.202	-0.322
back door	-0.358	-0.196	-0.188
back down	-0.300	-0.298	-0.634
back end	-0.200	-0.298	-0.194
back foot	-0.134	-0.154	-0.482
back in	-0.162	-0.338	-0.322
back into	-0.182	0.016	-0.242
back of	-0.414	-0.164	-0.310
back off	-0.068	-0.060	-0.608
back office	0.034	-0.268	-0.138
back onto	-0.418	-0.030	-0.194
back order	-0.420	-0.066	-0.148
back out	-0.714	-0.080	-0.206
back pack	-0.134	-0.194	-0.130
back pain	-0.334	-0.064	-0.548
back pay	0.142	0.000	-0.242
back pocket	-0.100	-0.222	-0.214
back porch	-0.166	-0.338	-0.154
back room	-0.232	-0.284	-0.234
back seat	-0.066	-0.122	-0.474
back story	0.094	-0.174	0.100
back up	0.032	-0.150	-0.072
back yard	-0.032	-0.230	-0.032
backed by	0.000	-0.142	-0.138
backed up	-0.414	-0.064	-0.194
background check	0.160	0.034	0.162
background music	0.266	-0.140	0.344
background noise	-0.258	0.064	-0.296
backwards compatible	0.000	0.234	-0.034
bacon grease	-0.066	-0.146	0.094
bad apple	-0.580	0.142	-0.608
bad behavior	-0.828	0.242	-0.254
bad blood	-0.828	0.156	-0.454
bad boy	-0.900	0.284	-0.482
bad breath	-0.932	0.048	-0.434
bad day	-0.990	0.046	-0.828
bad example	-0.704	-0.060	-0.586
bad faith	-0.724	-0.046	-0.518
bad feeling	-0.562	0.032	-0.580
bad form	-0.774	-0.062	-0.344
bad guy	-0.724	0.046	-0.226
bad guys	-0.962	0.250	-0.310
bad habit	-0.712	0.052	-0.534
bad ideas	-0.900	0.020	-0.558
bad joke	-0.594	-0.176	-0.616
bad light	-0.534	-0.192	-0.612
bad luck	-0.766	-0.056	-0.572
bad name	-0.766	-0.110	-0.236
bad news	-0.794	0.048	-0.600
bad person	-0.828	-0.150	-0.566
bad shape	-0.892	-0.104	-0.678
bad thing	-0.616	-0.052	-0.548
bad time	-0.370	-0.176	-0.620
bad times	-0.888	0.048	-0.620
bad weather	-0.678	0.060	-0.482
bag up	-0.300	-0.174	-0.100
baggage claim	-0.064	0.016	-0.112
bail out	-0.286	-0.150	-0.166
baked beans	0.100	-0.148	-0.300
baked chicken	0.000	-0.216	0.100
baked goods	0.468	-0.100	0.194
baked potato	0.034	-0.080	-0.084
baking soda	0.096	-0.124	-0.112
balance beam	0.214	0.092	0.000
balance out	-0.068	-0.270	-0.250
balance sheet	-0.076	0.030	0.172
balance sheets	-0.068	-0.146	0.108
balanced budget	0.300	-0.188	0.096
balanced diet	0.400	-0.194	-0.074
balancing act	-0.034	-0.102	0.142
bald eagle	0.218	0.070	-0.034
bald spot	-0.666	-0.200	-0.260
ball club	0.000	0.046	0.308
ball game	0.206	0.170	0.098
ball hockey	0.096	0.032	0.096
ball park	0.482	0.150	-0.266
ball pit	-0.138	0.164	0.000
ball player	0.100	0.278	0.108
ball up	-0.122	-0.088	-0.250
ballot box	-0.206	0.070	0.194
balsamic vinegar	-0.034	-0.256	-0.096
banana bread	0.282	-0.112	0.000
banana peel	-0.310	-0.378	0.066
banana pudding	0.646	-0.164	-0.034
banana republic	-0.116	-0.070	-0.068
banana split	0.172	-0.124	0.032
band aid	-0.286	-0.230	-0.276
band together	0.500	0.032	0.130
bang on	-0.072	0.194	0.270
bang out	-0.428	0.360	-0.142
bang up	-0.414	0.272	0.000
banged up	-0.500	0.076	-0.206
bank account	0.276	-0.146	0.400
bank balance	0.346	-0.084	0.310
bank card	0.376	-0.066	0.138
bank holiday	0.206	-0.278	0.000
bank on	0.156	0.018	0.076
bank statement	0.174	-0.094	0.242
banking system	-0.096	0.164	0.220
bar exam	-0.142	0.158	0.188
bar mitzvah	0.066	0.096	0.000
bar none	0.036	0.050	-0.112
bar soap	-0.036	-0.288	-0.172
barbecue sauce	0.000	-0.120	0.000
barbed wire	-0.656	0.128	0.000
barber shop	-0.192	-0.156	0.068
barbie doll	0.462	-0.259	-0.170
bare bones	-0.286	-0.180	-0.270
barn burner	-0.322	0.132	0.000
barn door	-0.226	-0.128	0.134
base hit	0.162	-0.208	0.258
base in	-0.138	-0.258	-0.066
base line	-0.066	-0.050	0.104
base on	0.134	-0.202	-0.068
baseball bat	0.060	0.164	0.106
baseball cap	0.076	-0.032	0.066
baseball field	0.270	0.088	0.310
baseball game	0.428	-0.060	0.408
baseball player	0.376	0.268	0.234
baseball season	0.100	0.334	0.214
baseball team	0.334	0.234	0.428
based on	0.000	-0.304	0.000
bases loaded	0.292	-0.104	0.194
basic training	0.032	0.276	0.226
bask in	0.358	-0.338	-0.108
basket case	-0.104	0.084	-0.032
basketball coach	0.434	0.246	0.242
basketball court	0.290	0.204	0.366
basketball game	0.166	0.584	0.518
basketball league	0.226	0.326	0.408
basketball player	0.258	0.358	0.354
basketball season	0.270	0.338	0.448
basketball team	0.434	0.328	0.678
bass guitar	0.381	-0.168	-0.173
bat in	-0.100	0.016	-0.172
bated breath	-0.282	0.070	-0.222
bath salts	-0.134	-0.048	-0.188
bath time	0.074	-0.388	-0.258
bath tub	-0.064	-0.500	-0.072
bath water	0.266	-0.242	-0.138
bathing suit	0.134	-0.016	-0.104
bathroom break	-0.452	-0.266	-0.334
bathroom sink	-0.138	-0.258	-0.334
bathroom stall	-0.366	-0.018	-0.134
battery pack	0.112	0.140	-0.036
batting average	0.166	0.100	0.260
battle royal	0.166	0.334	0.068
bay area	0.000	-0.016	-0.108
bb gun	-0.678	0.308	0.148
bbq sauce	0.142	-0.198	-0.036
be able	0.434	-0.046	0.068
be about	0.062	-0.200	-0.178
be active	0.548	0.262	0.392
be afraid	-0.700	-0.114	-0.646
be after	-0.234	-0.156	-0.284
be along	-0.074	-0.266	-0.038
be around	0.376	-0.126	-0.322
be away	-0.242	-0.170	-0.368
be born	0.216	-0.064	-0.226
be called	0.032	-0.080	-0.060
be careful	-0.166	-0.178	0.066
be down	-0.528	-0.210	-0.448
be due	-0.166	-0.200	-0.392
be full	0.100	-0.344	-0.066
be had	0.000	-0.194	-0.300
be here	0.334	-0.152	0.156
be in	0.160	-0.206	-0.138
be inclined	-0.130	-0.060	-0.178
be into	0.130	-0.046	0.034
be like	0.124	-0.262	-0.134
be off	-0.452	-0.368	-0.088
be on	0.188	0.024	-0.226
be one	0.100	-0.430	-0.034
be onto	0.068	-0.082	-0.104
be out	-0.242	-0.292	-0.342
be prepared	0.500	0.242	0.392
be quiet	-0.074	-0.446	0.000
be sacked	-0.334	0.044	-0.500
be sick	-0.340	-0.266	-0.466
be sure	0.032	-0.258	0.000
be there	0.000	-0.096	0.034
be through	0.112	0.016	-0.266
be to	-0.076	-0.200	-0.230
be together	0.734	-0.174	0.266
be up	0.138	0.052	0.000
be well	0.634	-0.306	-0.050
be yourself	0.500	-0.164	0.276
beach ball	0.408	-0.062	-0.108
beach house	0.334	-0.130	0.000
beach volleyball	0.310	0.254	0.300
beacon hill	-0.066	-0.136	0.186
bean bag	0.134	-0.102	-0.148
bear arms	-0.376	0.220	0.214
bear down	-0.052	0.158	-0.036
bear fruit	0.178	-0.018	-0.104
bear hug	0.040	0.044	-0.162
bear market	-0.296	0.082	0.138
bear on	-0.250	0.016	-0.172
bear with	-0.276	-0.126	-0.344
bear witness	-0.068	-0.170	0.000
beat down	-0.534	0.040	-0.104
beat in	-0.258	0.074	-0.064
beat it	-0.380	0.330	-0.072
beat off	-0.310	0.420	-0.312
beat on	-0.428	0.148	0.434
beat out	-0.482	0.262	0.142
beat to	-0.166	0.074	-0.108
beat up	-0.500	0.268	0.200
beaten up	-0.408	0.016	-0.250
beats me	-0.594	-0.028	-0.272
beauty queen	0.704	0.028	0.466
beauty sleep	0.580	-1.000	-0.194
because of	-0.034	-0.152	-0.226
become of	-0.162	-0.180	-0.206
bed bath	-0.250	-0.306	-0.310
bed bugs	-0.612	-0.286	-0.222
bed frame	-0.034	-0.334	-0.322
bed in	0.066	-0.428	-0.138
bed rest	-0.552	-0.462	-0.344
bedside table	0.000	-0.374	0.072
beef jerky	-0.226	0.158	-0.206
beef patty	0.250	-0.034	-0.072
beef stew	0.124	-0.322	-0.206
beef up	-0.034	0.264	0.154
been around	0.066	-0.080	0.032
been had	-0.530	-0.100	-0.266
beer belly	-0.344	0.012	-0.296
beer bottle	-0.296	-0.118	-0.096
beer can	-0.300	-0.080	-0.138
beer garden	0.308	0.262	-0.160
beer store	-0.094	0.142	-0.242
before hand	0.000	0.026	-0.108
before long	-0.074	-0.238	-0.130
behind bars	-0.618	0.068	-0.096
being that	-0.036	-0.270	-0.206
belief system	0.400	-0.190	0.500
believe in	0.624	-0.072	0.200
believe me	0.690	-0.130	-0.068
bell bottoms	0.104	-0.046	0.182
bell curve	-0.104	-0.132	-0.076
bell pepper	-0.068	-0.182	0.068
belly button	0.036	-0.012	-0.072
belly laugh	0.444	0.054	-0.156
belly up	-0.500	-0.082	-0.214
belong to	0.156	-0.048	0.068
belong together	0.536	-0.046	0.072
belong with	0.296	-0.190	0.000
below average	-0.634	-0.272	-0.674
below zero	-0.448	-0.350	-0.378
belt buckle	0.000	-0.012	0.000
belt out	0.172	0.090	0.108
bench press	0.258	0.400	0.108
bend down	-0.310	-0.074	-0.074
bend over	-0.250	-0.018	-0.354
bent on	-0.566	0.180	-0.242
berlin wall	-0.194	0.112	-0.166
bermuda triangle	-0.380	0.138	0.096
best bet	0.434	0.028	0.194
best boy	0.646	-0.206	0.138
best buy	0.666	0.038	0.242
best chance	0.800	0.166	0.344
best efforts	0.724	0.000	0.358
best friend	0.828	-0.118	0.322
best interests	0.742	-0.050	0.192
best man	0.464	-0.084	0.434
best part	0.548	0.090	0.358
best player	0.410	0.344	0.642
best practice	0.688	-0.030	0.584
best regards	0.228	-0.234	0.200
best seller	0.600	0.000	0.500
best thing	0.758	0.030	0.428
best way	0.666	-0.076	0.620
best wishes	0.976	0.082	0.482
bet on	0.000	0.202	-0.046
beta male	-0.322	-0.042	-0.206
beta test	-0.322	0.124	-0.344
beta version	-0.156	0.034	0.000
better believe	0.286	0.088	0.678
better half	0.534	-0.092	0.172
better off	0.646	-0.290	-0.034
better still	0.420	0.088	0.036
between jobs	-0.038	-0.010	-0.166
beware of	-0.086	0.014	-0.334
beyond belief	0.206	0.000	-0.100
beyond help	-0.188	-0.088	-0.358
beyond me	-0.100	-0.118	-0.104
beyond measure	0.194	0.226	0.258
beyond repair	-0.730	0.136	-0.130
beyond words	0.142	-0.224	0.130
bible belt	-0.134	-0.196	0.186
bidding war	-0.580	0.916	-0.166
big apple	0.580	0.112	0.214
big band	0.250	0.354	0.440
big bang	0.194	0.102	0.100
big ben	0.162	-0.048	0.206
big blue	0.138	-0.184	0.154
big board	0.200	-0.066	0.242
big box	0.130	-0.034	0.072
big boy	0.104	-0.066	0.290
big boys	0.226	0.086	0.222
big break	0.104	-0.032	0.100
big brother	0.036	0.072	0.138
big bucks	0.000	0.188	0.068
big business	0.380	0.250	0.600
big cat	0.038	-0.032	-0.064
big city	0.258	0.136	0.276
big daddy	0.370	-0.030	0.130
big data	0.290	0.076	0.444
big day	0.690	0.098	0.376
big deal	-0.130	0.272	0.310
big difference	0.192	0.236	0.194
big fat	-0.344	-0.098	-0.206
big fish	0.392	-0.048	0.354
big game	0.172	0.172	0.536
big government	0.074	0.188	0.522
big guy	0.242	0.164	0.518
big hair	0.226	0.000	0.152
big head	-0.104	0.096	0.242
big house	0.354	0.084	0.414
big issue	-0.690	0.258	-0.124
big league	0.260	0.130	0.548
big man	0.520	0.100	0.400
big money	0.266	0.196	0.406
big mouth	-0.408	0.046	-0.032
big name	0.214	-0.054	0.444
big old	0.000	-0.344	-0.482
big ole	0.000	-0.104	-0.166
big one	0.112	-0.014	0.266
big part	0.266	0.066	0.406
big pharma	-0.130	0.082	0.358
big picture	0.344	0.050	0.260
big problem	-0.786	0.214	-0.230
big question	0.000	0.184	0.130
big rig	0.290	-0.060	0.138
big screen	0.108	0.030	0.206
big shot	-0.064	0.394	0.074
big sister	0.344	-0.160	0.222
big smoke	-0.572	0.112	-0.034
big stick	-0.048	0.234	0.000
big sur	0.206	-0.032	0.064
big surprise	0.424	0.318	0.162
