term	valence
have fun	0.646
present day	0.646
wedding band	0.646
on vacation	0.646
good shot	0.646
family home	0.646
grand opening	0.646
look ahead	0.642
good luck	0.642
top class	0.642
faith in	0.642
wedding day	0.642
married couple	0.642
prize winner	0.642
make use	0.642
wedding anniversary	0.642
clean clothes	0.642
comfort food	0.642
catholic church	0.642
take pleasure	0.642
bridal shower	0.642
close relationship	0.642
large quantities	0.636
birthday party	0.634
play baseball	0.634
pure gold	0.634
film festival	0.634
movie star	0.634
information technology	0.634
be well	0.634
well dressed	0.634
good sense	0.634
right direction	0.634
golden boy	0.634
guiding light	0.634
personal best	0.634
show interest	0.630
smart thing	0.630
audio book	0.630
cool air	0.630
come naturally	0.630
fruit salad	0.630
like royalty	0.624
believe in	0.624
make money	0.624
nice touch	0.624
defining moment	0.622
fantasy novel	0.620
good sport	0.620
baby pictures	0.620
fun ride	0.620
health food	0.620
would like	0.620
self confidence	0.620
real good	0.620
earn money	0.620
problem solving	0.620
you're right	0.620
team sport	0.620
crystal clear	0.620
funny story	0.612
win over	0.612
say yes	0.612
do wonders	0.612
joy ride	0.612
my goodness	0.612
all better	0.612
public health	0.612
food safety	0.612
pretty girl	0.612
well balanced	0.612
like it	0.608
save as	0.608
social services	0.608
shine through	0.608
help yourself	0.608
rich history	0.608
professional help	0.608
baby talk	0.608
great year	0.608
trust with	0.608
personal care	0.608
all correct	0.600
peppermint oil	0.600
soul mate	0.600
well earned	0.600
make love	0.600
best seller	0.600
well liked	0.600
just right	0.600
first appearance	0.600
candy cane	0.600
sweet home	0.600
good fortune	0.600
proud owner	0.600
personal assistant	0.600
gift basket	0.600
silver lining	0.600
american thanksgiving	0.600
golden rule	0.600
pleasantly surprised	0.598
many thanks	0.594
guest room	0.594
environmentally friendly	0.594
mutually beneficial	0.594
graphic design	0.594
life coach	0.594
job security	0.594
surprise surprise	0.594
fun part	0.594
air freshener	0.594
fun activities	0.594
tennis player	0.594
guardian angel	0.592
right on	0.592
winning streak	0.592
human health	0.592
personal day	0.592
moral victory	0.592
for good	0.588
sustainable development	0.586
equal opportunity	0.586
main man	0.586
free expression	0.586
performing arts	0.586
have hope	0.586
knowledge base	0.586
add on	0.586
fine arts	0.586
great one	0.586
dream on	0.586
family business	0.586
slightly positive	0.584
soul sister	0.584
gift card	0.582
gain in	0.580
did good	0.580
pay raise	0.580
beauty sleep	0.580
smooth jazz	0.580
baby shower	0.580
good head	0.580
public good	0.580
good at	0.580
big apple	0.580
clear view	0.580
inner strength	0.580
open mind	0.580
running water	0.580
present moment	0.580
bright spot	0.580
sweet tea	0.580
with pleasure	0.580
in favor	0.580
theme park	0.580
what's good	0.576
investigative journalism	0.576
international relations	0.576
teddy bear	0.575
good enough	0.572
fun facts	0.572
thank heavens	0.572
singing voice	0.572
great anticipation	0.572
childhood friend	0.572
investment banking	0.572
family man	0.572
rich kids	0.572
making love	0.572
mean well	0.572
soft spot	0.572
confidence level	0.572
quick trip	0.570
great grandmother	0.569
new standard	0.566
light hearted	0.566
christmas tree	0.566
young person	0.566
keep going	0.566
lucky dog	0.566
business center	0.566
higher power	0.566
holy grail	0.566
bubble bath	0.566
forward looking	0.566
sweet corn	0.566
smooth sailing	0.566
clean water	0.566
love letter	0.566
level headed	0.566
business partner	0.566
primary source	0.566
musical theater	0.566
clean sweep	0.566
trust in	0.566
special effects	0.566
field goal	0.566
christmas gift	0.566
get better	0.566
get married	0.562
true meaning	0.562
get going	0.562
get credit	0.562
morning time	0.562
mind blowing	0.562
team up	0.562
well behaved	0.562
well used	0.562
real stuff	0.562
high life	0.562
see life	0.562
move ahead	0.560
lighten up	0.556
pearl necklace	0.556
apple tree	0.556
peace sign	0.556
work hard	0.556
milky way	0.556
financial gain	0.556
entertainment industry	0.556
true believers	0.556
straight answer	0.556
family tree	0.552
all important	0.552
power couple	0.552
university student	0.552
come true	0.552
moderate surprise	0.552
solar power	0.552
self discipline	0.552
stay together	0.552
gold rush	0.552
play fair	0.552
straight games	0.552
natural resources	0.552
go well	0.552
first baseman	0.548
satisfied with	0.548
in fashion	0.548
music box	0.548
you win	0.548
make sense	0.548
music video	0.548
very fast	0.548
full moon	0.548
second nature	0.548
national treasure	0.548
have connections	0.548
top ten	0.548
premier league	0.548
scientific research	0.548
laugh track	0.548
stay well	0.548
power ranger	0.548
be active	0.548
master's degree	0.548
best part	0.548
by nature	0.548
self esteem	0.548
well built	0.548
clear picture	0.548
software developer	0.546
great grandma	0.542
high degree	0.542
provide care	0.540
organic food	0.538
pop star	0.538
energy efficient	0.538
team together	0.538
gold standard	0.536
public service	0.536
soft spoken	0.536
tip top	0.536
funny man	0.536
inner peace	0.536
high note	0.536
a treat	0.536
support group	0.536
married woman	0.536
like like	0.536
native language	0.536
easy money	0.536
couple with	0.536
in peace	0.536
improve on	0.536
belong together	0.536
surprised at	0.534
get healthy	0.534
look forward	0.534
allow for	0.534
bring together	0.534
white dress	0.534
most certainly	0.534
flying colors	0.534
lead character	0.534
character actor	0.534
take advice	0.534
holy cow	0.534
work with	0.534
have respect	0.534
lover boy	0.534
holy land	0.534
field trip	0.534
game changer	0.534
right angle	0.534
stay tuned	0.534
better half	0.534
most importantly	0.534
golden age	0.534
horseback riding	0.534
team leader	0.534
extended family	0.534
football game	0.534
high five	0.534
white chocolate	0.534
care package	0.534
well run	0.534
five star	0.534
main thing	0.534
open season	0.534
kiss me	0.532
grow from	0.532
well intentioned	0.532
new year	0.532
top priority	0.532
compliment on	0.530
classic rock	0.522
participate in	0.520
state park	0.520
power point	0.520
big man	0.520
guitar player	0.520
heaven sent	0.518
reasonable person	0.518
pretty boy	0.518
thanks to	0.518
thanks again	0.518
puzzle game	0.518
present tense	0.518
breakfast time	0.518
with young	0.518
independent school	0.518
skin care	0.518
new technology	0.518
hot food	0.518
well timed	0.518
live performance	0.518
church service	0.518
sleeping beauty	0.518
help with	0.518
prime minister	0.518
cool stuff	0.518
soft skills	0.518
fun run	0.518
huge fan	0.518
whole life	0.518
table tennis	0.518
power up	0.518
game plan	0.518
fun stuff	0.518
free people	0.518
free entry	0.518
naturally occurring	0.518
popular culture	0.518
trust me	0.516
extra curricular	0.516
rose garden	0.516
free from	0.516
safe bet	0.516
get advice	0.516
all inclusive	0.516
green energy	0.516
mingle with	0.516
money tree	0.516
sweet jesus	0.516
friends with	0.516
the go-ahead	0.516
strong suit	0.516
sunny side	0.516
build bridges	0.516
rings true	0.516
group together	0.516
get support	0.516
strawberry jam	0.512
day out	0.512
in business	0.510
big tent	0.506
at home	0.500
classical music	0.500
people person	0.500
high jump	0.500
fashion statement	0.500
working group	0.500
for life	0.500
nutritional value	0.500
major key	0.500
free ticket	0.500
student teaching	0.500
warm up	0.500
green thumb	0.500
added value	0.500
tourist attraction	0.500
coffee break	0.500
girl power	0.500
popular music	0.500
candy shop	0.500
free speech	0.500
academic freedom	0.500
professional baseball	0.500
close friend	0.500
well established	0.500
rich people	0.500
young man	0.500
be yourself	0.500
new deal	0.500
cheer on	0.500
passion fruit	0.500
cocktail party	0.500
looking at	0.500
all together	0.500
to heart	0.500
think big	0.500
all clear	0.500
national anthem	0.500
on occasion	0.500
bachelorette party	0.500
awe inspiring	0.500
take chances	0.500
work on	0.500
rock music	0.500
food drive	0.500
bode well	0.500
school teacher	0.500
rocking chair	0.500
business day	0.500
be prepared	0.500
of course	0.500
band together	0.500
play on	0.500
natural order	0.500
look sharp	0.500
free trade	0.500
job creation	0.500
fun day	0.500
fantasy baseball	0.500
well fed	0.500
maternity leave	0.500
training program	0.500
save time	0.500
on special	0.500
water fountain	0.500
cool weather	0.500
pretty sure	0.500
pumped up	0.500
bright green	0.500
step forward	0.500
holy water	0.500
pay day	0.500
fresh air	0.500
fashion designer	0.500
apple juice	0.498
open invitation	0.492
air flow	0.490
reading glasses	0.488
good looks	0.488
baby goat	0.484
provide support	0.484
pleased with	0.484
golf game	0.484
carrot cake	0.484
animated series	0.484
sky blue	0.484
graduating class	0.484
wedding planner	0.484
at peace	0.484
air conditioned	0.484
carry on	0.484
fruit juice	0.484
book signing	0.484
gentle giant	0.484
spring training	0.484
for keeps	0.484
human resources	0.484
hockey league	0.484
play music	0.484
keep up	0.484
mouth water	0.484
agree on	0.484
miracle worker	0.484
great dane	0.482
mint chocolate	0.482
recommend to	0.482
buying power	0.482
yoga studio	0.482
professional football	0.482
ball park	0.482
hip hop	0.482
executive director	0.482
go together	0.482
diamond ring	0.482
human society	0.482
good bet	0.482
easter bunny	0.482
community garden	0.482
safe return	0.482
product development	0.482
new ideas	0.482
window seat	0.482
high profile	0.482
new information	0.482
strong sense	0.482
true believer	0.482
have tea	0.482
state fair	0.482
book club	0.482
heaven knows	0.482
play football	0.482
rich man	0.482
softball game	0.482
emotional intelligence	0.482
fundamental right	0.482
high fashion	0.482
fine art	0.482
famous person	0.482
baby clothes	0.482
eco friendly	0.482
have experience	0.482
make sure	0.482
rich person	0.482
god almighty	0.482
together with	0.482
smile on	0.480
financial support	0.480
take up	0.480
real life	0.480
solar energy	0.480
greener pastures	0.476
dedicate to	0.476
fruit punch	0.470
tap dance	0.470
first lady	0.470
shooting star	0.468
photo album	0.468
every time	0.468
scuba diving	0.468
get some	0.468
baked goods	0.468
big year	0.468
born again	0.468
mutual friend	0.468
candy store	0.468
space ship	0.468
lady friend	0.468
fund manager	0.466
make it	0.466
company name	0.466
sure hope	0.466
first born	0.466
spot on	0.466
power source	0.466
agreed upon	0.466
so right	0.466
health services	0.466
birthday cake	0.466
direct access	0.466
power generation	0.466
prime time	0.466
creative director	0.466
high levels	0.466
take responsibility	0.466
fair amount	0.466
professional development	0.466
sports center	0.466
mother tongue	0.466
at heart	0.466
true story	0.466
city planning	0.466
wake up	0.466
long vacation	0.466
human right	0.466
well adjusted	0.466
picture show	0.466
growth rate	0.466
permanent resident	0.466
chocolate bar	0.466
fresh water	0.466
personal relationship	0.466
management company	0.466
eternally grateful	0.466
immune system	0.466
higher up	0.464
right arm	0.464
free world	0.464
medical school	0.464
high fidelity	0.464
great wall	0.464
build on	0.464
home improvement	0.464
hats off	0.464
art school	0.464
live music	0.464
full range	0.464
apple pie	0.464
best man	0.464
join in	0.464
life style	0.464
clean slate	0.464
people skills	0.464
in control	0.462
barbie doll	0.462
social work	0.462
food production	0.462
board game	0.461
public library	0.460
well known	0.460
proud of	0.460
great uncle	0.458
shake hands	0.458
wine cooler	0.458
nurse practitioner	0.456
life expectancy	0.452
sweet pea	0.452
common ground	0.452
clean room	0.452
went well	0.452
follow me	0.452
conservative party	0.452
state university	0.452
treasure island	0.452
renewable energy	0.452
promised land	0.452
home in	0.452
first ever	0.452
a pleasure	0.452
human race	0.452
family owned	0.452
white christmas	0.452
social worker	0.452
golden goose	0.452
well put	0.452
cocoa butter	0.452
rain shower	0.452
true blue	0.452
reading group	0.452
capitalize on	0.452
white house	0.448
nice man	0.448
certain of	0.448
safety net	0.448
caramel apple	0.448
excel at	0.448
get up	0.448
heisman trophy	0.448
household name	0.448
herbal tea	0.448
chicken sandwich	0.448
life insurance	0.448
open air	0.448
nice little	0.448
do better	0.448
get attention	0.448
name brand	0.448
even more	0.448
butterfly effect	0.448
pizza oven	0.448
day care	0.448
musical instrument	0.448
look to	0.448
general public	0.448
free pass	0.448
open doors	0.448
ferris wheel	0.448
happy medium	0.448
work wonders	0.448
green tea	0.448
one hundred	0.448
own brand	0.448
musical instruments	0.448
nobel prize	0.448
medical center	0.444
agree with	0.444
football club	0.444
plane ticket	0.444
medical care	0.444
mechanical engineer	0.444
hundred thousand	0.444
golden gate	0.444
six pack	0.444
day job	0.444
olive garden	0.444
equal pay	0.444
belly laugh	0.444
title track	0.444
life support	0.442
bright side	0.442
developing countries	0.442
on course	0.440
fair trial	0.440
video game	0.439
fan club	0.438
christian church	0.438
ice tea	0.438
real deal	0.438
football league	0.438
your highness	0.438
orange juice	0.438
start in	0.438
united front	0.438
light year	0.438
daylight savings	0.436
art gallery	0.434
a plus	0.434
bachelor's degree	0.434
basketball coach	0.434
straight away	0.434
lip gloss	0.434
super duper	0.434
crossword puzzle	0.434
pure luck	0.434
baby boy	0.434
mint tea	0.434
coconut water	0.434
give advice	0.434
basketball team	0.434
dress up	0.434
top scorer	0.434
project management	0.434
marry me	0.434
as well	0.434
good heavens	0.434
every one	0.434
game room	0.434
public interest	0.434
best bet	0.434
play ball	0.434
virtual reality	0.434
vacation home	0.434
shopping mall	0.434
vouch for	0.434
be able	0.434
opening line	0.434
young age	0.434
business card	0.434
stay alive	0.434
dinner time	0.434
pet shop	0.434
makeup artist	0.434
common sense	0.434
big thing	0.434
world view	0.434
all round	0.434
staying power	0.434
profit from	0.434
rock on	0.434
care about	0.434
growth spurt	0.432
vanilla bean	0.428
magic number	0.428
first family	0.428
solar powered	0.428
giving birth	0.428
well enough	0.428
on schedule	0.428
regular guy	0.428
electric toothbrush	0.428
eternal life	0.428
dance around	0.428
special interest	0.428
cha cha	0.428
care to	0.428
early bird	0.428
home delivery	0.428
chamomile tea	0.428
each year	0.428
house party	0.428
for real	0.428
vacation time	0.428
baseball game	0.428
treasure hunt	0.428
buy it	0.428
gift wrapping	0.428
fairy tale	0.428
on sale	0.428
water supply	0.428
fair game	0.428
sitting pretty	0.428
standing ovation	0.428
new age	0.427
white rice	0.426
good value	0.426
folk music	0.424
real world	0.424
big surprise	0.424
more precisely	0.424
solar eclipse	0.424
roller skating	0.424
help out	0.422
holy father	0.422
talk through	0.420
get together	0.420
mickey mouse	0.420
medical student	0.420
glow stick	0.420
support network	0.420
baby shoes	0.420
dancing around	0.420
stand still	0.420
new town	0.420
summer house	0.420
football season	0.420
have breakfast	0.420
morning person	0.420
sunflower seeds	0.420
complete with	0.420
action movie	0.420
up front	0.420
the like	0.420
moon landing	0.420
power forward	0.420
national team	0.420
get well	0.420
new man	0.420
money's worth	0.420
brand loyalty	0.420
stay on	0.420
living thing	0.420
better still	0.420
whole foods	0.420
advent calendar	0.420
most especially	0.420
social studies	0.420
according to	0.420
winning over	0.420
real thing	0.420
card game	0.420
art director	0.420
moving up	0.420
sound track	0.420
early adopter	0.420
subject matter	0.416
research team	0.416
variety show	0.414
liberal arts	0.414
live one	0.414
upper hand	0.414
medical advice	0.414
jingle bells	0.414
green beans	0.414
work around	0.414
care for	0.414
near to	0.414
crush on	0.414
tech savvy	0.414
free zone	0.414
magic carpet	0.414
love boat	0.414
major league	0.414
phone in	0.414
american way	0.414
sentimental value	0.414
shipping company	0.414
bright orange	0.414
in trust	0.414
worth of	0.414
perfect pitch	0.414
improve upon	0.414
health service	0.414
personal income	0.414
feature film	0.414
theme music	0.414
main course	0.414
look up	0.414
family history	0.414
have dinner	0.414
special needs	0.414
grown up	0.414
give credit	0.414
smooth out	0.414
new look	0.414
get fresh	0.414
warm welcome	0.414
first step	0.414
start with	0.414
sugar cookie	0.414
sweet spot	0.414
share in	0.412
best player	0.410
tidy up	0.410
freedom fighter	0.408
beach ball	0.408
the most	0.408
gift shop	0.408
eye candy	0.408
dance floor	0.408
christmas carol	0.408
pension fund	0.408
get started	0.406
software engineer	0.406
go forward	0.406
grocery shop	0.406
come forward	0.406
cup final	0.406
clean air	0.406
core group	0.406
fine wine	0.406
ginger ale	0.406
true to	0.406
open for	0.406
rainbow flag	0.406
agree to	0.406
natural history	0.406
daily life	0.406
home theater	0.404
high rise	0.404
win in	0.404
star fruit	0.402
smart watch	0.400
governor general	0.400
even up	0.400
thumbs up	0.400
honorable mention	0.400
raise up	0.400
private practice	0.400
radio play	0.400
child care	0.400
soccer player	0.400
music group	0.400
town center	0.400
balanced diet	0.400
happen to	0.400
have lunch	0.400
new england	0.400
glory days	0.400
fair trade	0.400
play date	0.400
married man	0.400
soft drink	0.400
that's right	0.400
green bin	0.400
worth it	0.400
professional life	0.400
goodness gracious	0.400
for laughs	0.400
reading list	0.400
raw talent	0.400
twin sister	0.400
full service	0.400
registered nurse	0.400
word play	0.400
burger king	0.400
cherry pie	0.400
founding member	0.400
belief system	0.400
palm springs	0.400
value added	0.400
rapid transit	0.400
common knowledge	0.400
take pride	0.400
show respect	0.400
special session	0.400
rainbow trout	0.400
warm fuzzies	0.400
shopping cart	0.400
fashion show	0.400
candy canes	0.400
it works	0.400
in office	0.400
half mile	0.400
play at	0.400
cinnamon toast	0.400
early spring	0.400
at present	0.400
first language	0.400
life force	0.396
media company	0.396
second cousin	0.396
safe sex	0.396
social network	0.396
ever more	0.392
in progress	0.392
grow on	0.392
for sure	0.392
new world	0.392
bucket list	0.392
aloe vera	0.392
expand on	0.392
school day	0.392
grow up	0.392
coloring book	0.392
long jump	0.392
futures contract	0.392
intelligence community	0.392
fist pump	0.392
baby bird	0.392
parking space	0.392
delight in	0.392
top dollar	0.392
big fish	0.392
majority leader	0.388
grilled chicken	0.388
travel time	0.388
bright lights	0.388
road map	0.388
student union	0.388
sports team	0.388
food court	0.388
our father	0.388
fried eggs	0.388
interest in	0.388
mutual fund	0.388
a student	0.388
health authority	0.388
interest rate	0.388
almond milk	0.388
real estate	0.388
lunch room	0.388
love affair	0.388
vitamin c	0.388
cash back	0.388
white shirt	0.388
make much	0.388
english teacher	0.388
save on	0.388
popular vote	0.388
pay tribute	0.388
shea butter	0.388
lead role	0.388
allow in	0.388
full time	0.388
flag football	0.388
find solace	0.388
live in	0.388
social club	0.388
gold mine	0.388
security blanket	0.388
play in	0.388
like fun	0.388
tap dancing	0.388
human nature	0.388
top man	0.388
family member	0.388
master class	0.388
free gift	0.388
pretty clear	0.384
academic year	0.384
summer time	0.384
on trend	0.384
sliced bread	0.384
project manager	0.382
take charge	0.382
bass guitar	0.381
way cool	0.380
coffee shop	0.380
above water	0.380
sports car	0.380
world series	0.380
memory card	0.380
sign with	0.380
child support	0.380
space exploration	0.380
day camp	0.380
honey pot	0.380
ten million	0.380
trust fund	0.380
fly on	0.380
group therapy	0.380
level up	0.380
let on	0.380
harvest moon	0.380
drinking water	0.380
strong case	0.380
paternity leave	0.380
grow in	0.380
say when	0.380
big business	0.380
play about	0.380
focus on	0.380
retirement fund	0.380
movie theatre	0.380
safe passage	0.380
green grass	0.380
vitamin d	0.380
play tennis	0.380
old friend	0.380
first name	0.380
blue sky	0.380
international community	0.380
opening night	0.380
palm beach	0.380
american flag	0.380
capital gains	0.380
street smart	0.380
a sport	0.380
cotton candy	0.380
pizza topping	0.380
customer care	0.380
brand name	0.380
gravitate towards	0.380
live on	0.380
looking up	0.380
scientific fact	0.380
upper class	0.380
community service	0.380
safe haven	0.378
wish on	0.378
grand tour	0.378
charm bracelet	0.376
breakfast food	0.376
home stand	0.376
be around	0.376
double feature	0.376
waking up	0.376
big time	0.376
anime series	0.376
tea party	0.376
social science	0.376
bank card	0.376
hockey season	0.376
baseball player	0.376
hot coffee	0.376
goal line	0.376
public trust	0.376
social democracy	0.376
assistant director	0.376
money machine	0.376
business hours	0.376
move up	0.372
wedding gift	0.372
whole wheat	0.370
top story	0.370
job application	0.370
rain forest	0.370
give back	0.370
big daddy	0.370
speak up	0.370
baby face	0.370
all nations	0.370
a peach	0.370
main source	0.370
red carpet	0.370
listen up	0.370
true nature	0.370
big up	0.370
graduate school	0.370
love bug	0.370
happen by	0.370
health insurance	0.370
love child	0.370
house warming	0.370
masses of	0.368
go for	0.366
sporting goods	0.366
power nap	0.366
art history	0.366
save that	0.366
personal space	0.366
living standards	0.366
vanity fair	0.366
high up	0.366
hard work	0.366
direct deposit	0.366
ice maker	0.366
rose bowl	0.366
for free	0.366
greater than	0.366
look upon	0.366
face time	0.366
as possible	0.366
pass in	0.366
travel insurance	0.366
sports fan	0.366
easter sunday	0.366
value proposition	0.366
self control	0.366
season ticket	0.366
price range	0.366
gearing up	0.366
birth certificate	0.366
juice box	0.366
yours truly	0.366
american express	0.366
stay with	0.366
elementary school	0.366
health care	0.366
pound cake	0.366
valued at	0.366
emergency fund	0.366
come from	0.366
operate on	0.366
straight lines	0.366
that's life	0.366
make history	0.366
white collar	0.366
open up	0.366
head start	0.366
please with	0.366
ready for	0.366
goal scorer	0.366
first principles	0.366
home game	0.366
light breeze	0.366
support level	0.366
mount everest	0.366
baby powder	0.366
pep rally	0.366
phone service	0.366
cool thing	0.366
whole thing	0.366
animal kingdom	0.366
college student	0.366
go ahead	0.366
cloud nine	0.366
nursing school	0.366
play to	0.366
show time	0.366
chief justice	0.366
full speed	0.366
public life	0.366
by heart	0.366
human rights	0.362
general manager	0.362
by choice	0.362
key player	0.362
national flag	0.360
dental care	0.360
pocket money	0.358
shopping centre	0.358
free choice	0.358
round trip	0.358
key component	0.358
chocolate milk	0.358
rainy day	0.358
silver fox	0.358
first world	0.358
revel in	0.358
house plant	0.358
frozen yogurt	0.358
politically correct	0.358
light speed	0.358
paid vacation	0.358
sports day	0.358
scientific studies	0.358
red delicious	0.358
provide for	0.358
without doubt	0.358
change management	0.358
bask in	0.358
pizza place	0.358
familiar with	0.358
business plan	0.358
grape juice	0.357
red lipstick	0.356
put together	0.354
help desk	0.354
moderate trust	0.354
sweet tooth	0.354
in shape	0.354
trust to	0.354
whole family	0.354
hockey player	0.354
stick with	0.354
veggie burger	0.354
slight surprise	0.354
new wave	0.354
young boy	0.354
white board	0.354
morning glory	0.354
gain on	0.354
green party	0.354
new ways	0.354
big house	0.354
all set	0.354
stepping stone	0.354
class act	0.354
on high	0.354
stand tall	0.354
keep coming	0.354
convenience store	0.354
food processor	0.354
true identity	0.354
hard worker	0.354
slumber party	0.354
pretty much	0.354
northern lights	0.354
comic relief	0.354
grass on	0.354
art museum	0.354
talent show	0.354
in advance	0.354
bring home	0.354
fantasy world	0.354
in color	0.354
coffee table	0.353
advance poll	0.352
right away	0.352
wise man	0.348
like new	0.348
talk with	0.346
bank balance	0.346
oodles of	0.346
sales manager	0.346
school board	0.346
lemon drop	0.346
hold true	0.346
rise to	0.346
cake walk	0.346
show up	0.346
driving school	0.344
ice coffee	0.344
pattern on	0.344
book review	0.344
mass production	0.344
plan on	0.344
compound interest	0.344
olive oil	0.344
want to	0.344
