term	dominance
mother nature	0.566
highly recommend	0.566
high point	0.566
scientific fact	0.566
district court	0.566
great guy	0.562
control system	0.562
fashion designer	0.562
target practice	0.556
top class	0.556
academy award	0.556
international relations	0.556
rise to	0.556
good guy	0.552
private property	0.552
conference call	0.552
health services	0.552
build on	0.552
international flight	0.552
good news	0.552
central government	0.552
heavy machinery	0.552
well informed	0.552
extra point	0.552
power line	0.552
first rate	0.552
golden years	0.552
human health	0.552
true believers	0.552
god almighty	0.552
full strength	0.548
national flag	0.548
civil war	0.548
reserve currency	0.548
legal system	0.548
high levels	0.548
role model	0.548
asset management	0.548
main course	0.548
news conference	0.548
big league	0.548
high tech	0.548
miracle worker	0.548
moderate trust	0.546
financial support	0.540
brand new	0.540
sustainable development	0.538
well connected	0.538
police academy	0.538
collective agreement	0.538
elected official	0.538
the go-ahead	0.538
market maker	0.538
team building	0.538
community service	0.538
personal best	0.538
charter school	0.536
emergency department	0.536
taking advantage	0.536
safe haven	0.536
judgment day	0.536
money talks	0.536
to perfection	0.536
guest list	0.536
mechanical engineer	0.536
big game	0.536
quality control	0.536
strong sense	0.536
federal reserve	0.536
good god	0.536
right away	0.536
straight person	0.536
human being	0.536
great dane	0.534
working person	0.534
dream team	0.534
nice person	0.534
political campaign	0.534
research team	0.534
popular vote	0.534
your honor	0.534
good going	0.534
software developer	0.534
high life	0.534
good morning	0.534
hockey game	0.534
double-edged sword	0.534
manifest destiny	0.532
full speed	0.532
governor general	0.530
vested interests	0.528
adventure game	0.528
secret service	0.524
sales team	0.522
big government	0.522
great surprise	0.521
board certified	0.520
state senator	0.518
smart watch	0.518
exclamation point	0.518
big guy	0.518
time management	0.518
business people	0.518
school principal	0.518
higher power	0.518
information technology	0.518
show interest	0.518
golden gate	0.518
open mind	0.518
well done	0.518
driver's license	0.518
rich history	0.518
attorney general	0.518
high class	0.518
good value	0.518
good looks	0.518
boxing match	0.518
basketball game	0.518
population growth	0.518
smart guy	0.518
five hundred	0.516
special forces	0.516
added value	0.516
superiority complex	0.516
breaking news	0.516
natural order	0.516
legal profession	0.516
live action	0.514
get married	0.512
life partner	0.512
mother tongue	0.512
residential area	0.512
change management	0.512
good shot	0.512
moderate positive	0.506
home owner	0.500
many thanks	0.500
strategic planning	0.500
the quality	0.500
grocery store	0.500
wedding ring	0.500
federal government	0.500
equal opportunity	0.500
federal court	0.500
family doctor	0.500
democratic party	0.500
national guard	0.500
on purpose	0.500
diamond ring	0.500
case law	0.500
great idea	0.500
level up	0.500
academy awards	0.500
private school	0.500
superior to	0.500
best seller	0.500
movie star	0.500
dedicate to	0.500
new technology	0.500
national holiday	0.500
product development	0.500
royal family	0.500
long jump	0.500
grand rounds	0.500
financial advisor	0.500
knowledge base	0.500
belief system	0.500
first principles	0.500
focus group	0.500
take advantage	0.500
personal income	0.500
good fortune	0.500
dental hygienist	0.500
cash money	0.500
first strike	0.500
first class	0.500
present day	0.500
health professional	0.500
assistant director	0.500
power up	0.500
football stadium	0.500
vocal chords	0.500
love interest	0.500
living legend	0.500
industrial revolution	0.500
lead with	0.500
all important	0.490
web browser	0.490
subway system	0.488
consulting firm	0.488
agree on	0.488
human nature	0.486
space travel	0.486
high maintenance	0.484
do good	0.484
personal trainer	0.484
father's day	0.484
love boat	0.484
good at	0.484
grand jury	0.484
psychological warfare	0.484
program director	0.484
legal right	0.484
trust with	0.484
special olympics	0.484
monetary system	0.484
grand finale	0.484
life form	0.482
rich countries	0.482
construction worker	0.482
security system	0.482
true feelings	0.482
majority rule	0.482
best wishes	0.482
give permission	0.482
financial gain	0.482
power forward	0.482
earnings report	0.482
take responsibility	0.482
give power	0.482
wise men	0.482
high top	0.482
private enterprise	0.482
have connections	0.482
natural law	0.482
high degree	0.482
marine corps	0.482
at large	0.482
global economy	0.482
power ranger	0.482
great one	0.482
happy birthday	0.482
staying power	0.482
life saver	0.482
capitalize on	0.482
life expectancy	0.480
thousand times	0.480
thank god	0.478
mean business	0.476
continuing education	0.476
movie theatre	0.474
tough decision	0.474
first nation	0.468
very well	0.468
social contract	0.468
police investigation	0.468
governing body	0.468
working day	0.466
like royalty	0.466
new standard	0.466
direct deposit	0.466
good sport	0.466
cup final	0.466
high gear	0.466
beauty queen	0.466
computer system	0.466
money's worth	0.466
american football	0.466
point guard	0.466
social welfare	0.466
birthday gift	0.466
power play	0.466
constitutional law	0.466
business class	0.466
huge amount	0.466
private company	0.466
magic trick	0.466
reverse engineer	0.464
government building	0.464
rocket launcher	0.464
full service	0.464
great deal	0.464
pilot project	0.464
valued at	0.464
high profile	0.464
true believer	0.464
making love	0.464
queen bee	0.464
tax revenue	0.464
political system	0.464
american revolution	0.464
public defender	0.464
access code	0.464
great thing	0.464
high time	0.462
thank you	0.462
happy holidays	0.462
high fashion	0.462
digital media	0.460
rule in	0.454
green light	0.454
football player	0.454
medical center	0.452
birthday party	0.452
large amounts	0.452
shooting range	0.452
direct access	0.452
gift certificate	0.452
good health	0.452
on target	0.452
political leader	0.452
family court	0.452
true story	0.452
insider information	0.452
theme park	0.452
game show	0.448
strike zone	0.448
self respecting	0.448
bachelor's degree	0.448
large quantities	0.448
city council	0.448
home theater	0.448
basketball season	0.448
internal medicine	0.448
search party	0.448
memorial day	0.448
mechanical engineering	0.448
intensive care	0.448
defining moment	0.448
forward looking	0.448
gospel music	0.448
moon landing	0.448
energy consumption	0.448
revenue stream	0.448
vacation time	0.448
operating room	0.448
credit rating	0.448
crisis management	0.448
judicial review	0.448
team together	0.448
prize money	0.448
support system	0.448
top secret	0.448
american thanksgiving	0.448
pop star	0.444
big name	0.444
young lady	0.444
right now	0.444
big data	0.444
special interest	0.444
key player	0.444
grand tour	0.444
renewable energy	0.444
speed up	0.444
special session	0.444
prime minister	0.444
extended family	0.444
final destination	0.444
civil rights	0.444
key question	0.444
grand slam	0.442
common knowledge	0.442
move ahead	0.442
come first	0.442
big band	0.440
state house	0.440
rating system	0.440
grand opening	0.440
have confidence	0.438
think straight	0.438
high hopes	0.438
entertainment industry	0.438
moving on	0.438
well timed	0.438
legal advice	0.438
membership card	0.438
win big	0.438
american flag	0.438
morning star	0.438
new year	0.438
top priority	0.438
cost effective	0.438
plan on	0.434
support network	0.434
higher education	0.434
like lightning	0.434
in control	0.434
math teacher	0.434
human capital	0.434
top quality	0.434
free speech	0.434
good head	0.434
childhood friend	0.434
economic growth	0.434
team player	0.434
go public	0.434
beat on	0.434
technical analysis	0.434
improve upon	0.434
tune in	0.434
gated community	0.434
control room	0.434
first generation	0.434
animal kingdom	0.434
white supremacist	0.434
master's degree	0.434
great year	0.434
best man	0.434
permanent resident	0.434
general meeting	0.434
have experience	0.434
political science	0.434
central bank	0.434
secret society	0.434
moving forward	0.434
immune system	0.434
get high	0.434
landing page	0.432
concentrate on	0.428
transportation system	0.428
moving company	0.428
playing field	0.428
maintenance man	0.428
educated guess	0.428
baseball team	0.428
best thing	0.428
make good	0.428
awe inspiring	0.428
head start	0.428
good looking	0.428
city planning	0.428
good idea	0.428
family owned	0.428
totally awesome	0.428
fashion show	0.428
public transportation	0.428
save up	0.428
tech support	0.428
keynote speaker	0.428
push forward	0.428
general counsel	0.426
cheer on	0.426
insurance policy	0.426
dog show	0.426
common good	0.424
personal business	0.424
brighten up	0.424
wide world	0.424
key part	0.424
electrical engineer	0.424
profit taking	0.424
in charge	0.424
personality test	0.424
all correct	0.420
grand total	0.420
high jump	0.420
public sector	0.420
you win	0.420
smart money	0.420
natural selection	0.420
independent school	0.420
take heart	0.420
general assembly	0.420
grow in	0.420
good works	0.420
first amendment	0.420
health authority	0.420
insurance company	0.420
living space	0.420
large amount	0.420
rich man	0.420
graduate school	0.420
facial expression	0.420
space flight	0.420
court system	0.420
solar energy	0.420
rocket ship	0.420
eco friendly	0.420
judicial system	0.420
public record	0.420
well versed	0.416
wedding band	0.416
purchasing power	0.414
satisfied with	0.414
free choice	0.414
direct action	0.414
professional wrestling	0.414
keep running	0.414
very much	0.414
good story	0.414
energy efficient	0.414
bring about	0.414
most certainly	0.414
secret agent	0.414
hold power	0.414
project management	0.414
real good	0.414
dictate to	0.414
big house	0.414
stepping stone	0.414
credit union	0.414
most likely	0.414
national treasure	0.414
conference room	0.414
forklift operator	0.414
social networking	0.414
safe environment	0.414
fresh food	0.414
business day	0.414
take charge	0.414
security camera	0.414
double life	0.414
good timing	0.414
extreme sport	0.414
put forward	0.414
law student	0.414
master plan	0.414
naturally occurring	0.414
long history	0.414
lucky dog	0.412
keep doing	0.410
detective work	0.410
free world	0.408
military personnel	0.408
legal action	0.408
basketball league	0.408
retirement fund	0.408
sports center	0.408
emergency fund	0.408
swear by	0.408
training camp	0.408
voting system	0.408
brand loyalty	0.408
developing country	0.408
baseball game	0.408
come online	0.408
russian roulette	0.408
extreme anticipation	0.408
horseback riding	0.408
business card	0.408
make sure	0.408
group together	0.408
look forward	0.406
did good	0.406
fire up	0.406
self righteousness	0.406
first appearance	0.406
big money	0.406
power cord	0.406
big part	0.406
business analyst	0.406
work up	0.406
starting line	0.404
treasure island	0.404
good manners	0.404
full employment	0.400
well well	0.400
buying power	0.400
provide support	0.400
living standards	0.400
muscle in	0.400
social media	0.400
power couple	0.400
double feature	0.400
tourist attraction	0.400
american cheese	0.400
business school	0.400
work hard	0.400
developing countries	0.400
main man	0.400
good person	0.400
assistant professor	0.400
at liberty	0.400
high places	0.400
public office	0.400
mind blowing	0.400
weight training	0.400
strong point	0.400
home office	0.400
account executive	0.400
rocket fuel	0.400
research project	0.400
high frequency	0.400
play on	0.400
have fun	0.400
eminent domain	0.400
bank account	0.400
well spoken	0.400
body builder	0.400
full extent	0.400
well adjusted	0.400
selection committee	0.400
big man	0.400
heavy handed	0.400
visiting team	0.400
art museum	0.400
year resolution	0.400
record holder	0.400
thank goodness	0.400
grad school	0.400
heavy lifting	0.400
group work	0.400
extra curricular	0.394
turn on	0.394
financial analyst	0.392
campaign trail	0.392
public service	0.392
solar system	0.392
financial assistance	0.392
final decision	0.392
school friend	0.392
oil production	0.392
pay cash	0.392
legislative branch	0.392
conservative party	0.392
golden retriever	0.392
top ten	0.392
be prepared	0.392
proportional representation	0.392
real impact	0.392
strong suit	0.392
proud of	0.392
be active	0.392
space shuttle	0.392
fast forwarding	0.392
congressional district	0.388
surprised at	0.388
software engineer	0.388
direct result	0.388
good part	0.388
very good	0.388
thank heavens	0.388
true value	0.388
girl power	0.388
major league	0.388
product line	0.388
spend time	0.388
going strong	0.388
department store	0.388
value system	0.388
wealth of	0.388
capitol hill	0.388
honourable mention	0.388
ramp up	0.388
science teacher	0.388
amusement park	0.388
lead role	0.388
trigger happy	0.388
team sport	0.388
good money	0.388
a good	0.388
bridal shower	0.388
wrestling match	0.388
nice things	0.388
married couple	0.386
film festival	0.384
holy spirit	0.384
news release	0.384
arranged marriage	0.384
golden age	0.384
monsoon season	0.384
looking up	0.384
state trooper	0.384
above average	0.382
medical care	0.382
charge it	0.382
well established	0.382
participate in	0.380
mass production	0.380
get together	0.380
good hands	0.380
power company	0.380
independence day	0.380
good book	0.380
first responder	0.380
good graces	0.380
safety net	0.380
wedding planner	0.380
happy hour	0.380
inauguration day	0.380
get credit	0.380
property management	0.380
emergency response	0.380
middle management	0.380
joy ride	0.380
physical fitness	0.380
strong evidence	0.380
health care	0.380
market economy	0.380
opposition party	0.380
right direction	0.380
take effect	0.380
how high	0.380
surprise party	0.380
straight home	0.380
shine through	0.380
house party	0.380
team up	0.380
fantasy baseball	0.380
air force	0.380
public access	0.380
large part	0.380
food production	0.380
do justice	0.380
good books	0.380
news show	0.380
market research	0.380
web developer	0.380
black diamond	0.380
well balanced	0.380
speak volumes	0.376
security guard	0.376
big day	0.376
take credit	0.376
hockey stick	0.376
former student	0.376
good reason	0.376
lieutenant governor	0.376
sweet home	0.372
social housing	0.370
board meeting	0.370
surgeon general	0.370
mutually beneficial	0.370
self control	0.370
civil service	0.370
american express	0.370
mother earth	0.370
our lord	0.370
family business	0.370
smack down	0.370
outer space	0.368
great minds	0.366
help desk	0.366
straight up	0.366
quarter mile	0.366
law society	0.366
reasonable person	0.366
well paid	0.366
good friend	0.366
trust fund	0.366
master bedroom	0.366
business center	0.366
airline industry	0.366
nice day	0.366
human society	0.366
nice place	0.366
paid up	0.366
internal combustion	0.366
basketball court	0.366
good heavens	0.366
well known	0.366
foreign affairs	0.366
self righteous	0.366
fighting words	0.366
full moon	0.366
market price	0.366
all better	0.366
straight men	0.366
criminal investigation	0.366
national league	0.366
goal scorer	0.366
checking account	0.366
technical support	0.366
insurance coverage	0.366
mind reading	0.366
fiscal policy	0.366
full time	0.366
city officials	0.366
by committee	0.366
food safety	0.366
judgement day	0.366
health card	0.366
own brand	0.366
first degree	0.366
step forward	0.366
standing ovation	0.366
energy level	0.366
guest appearance	0.366
television series	0.366
air conditioning	0.364
true identity	0.364
real stuff	0.364
public library	0.362
creative thinking	0.360
silver bullet	0.360
mortality rate	0.358
active duty	0.358
significant other	0.358
follow through	0.358
world economy	0.358
grow together	0.358
aspect ratio	0.358
wedding day	0.358
sound effects	0.358
top shelf	0.358
customer services	0.358
stand for	0.358
ring for	0.358
good time	0.358
run in	0.358
political movement	0.358
big pharma	0.358
tread carefully	0.358
board member	0.358
have expectations	0.358
sports day	0.358
direct flight	0.358
fair enough	0.358
punch up	0.358
foreign language	0.358
oxygen tank	0.358
vantage point	0.358
artificial intelligence	0.358
net worth	0.358
do business	0.358
best part	0.358
wishful thinking	0.358
brain cell	0.358
straight shooter	0.358
best efforts	0.358
volleyball game	0.356
muscle memory	0.354
high noon	0.354
investigative journalism	0.354
second baseman	0.354
soccer player	0.354
alive with	0.354
council member	0.354
police department	0.354
self proclaimed	0.354
responsible for	0.354
treasure trove	0.354
grad student	0.354
well dressed	0.354
accounts receivable	0.354
purple heart	0.354
eastern conference	0.354
treasure hunt	0.354
rake in	0.354
corporate tax	0.354
save from	0.354
restraining order	0.354
basketball player	0.354
humanly possible	0.354
talk big	0.354
driver license	0.354
stand firm	0.354
trade on	0.354
world bank	0.354
big fish	0.354
finish line	0.354
extreme surprise	0.352
fresh legs	0.352
price increase	0.352
food chain	0.352
get fresh	0.350
fresh fruit	0.348
would like	0.348
living wage	0.348
work ethic	0.346
single handedly	0.346
large number	0.346
day trading	0.346
select committee	0.346
take part	0.346
football coach	0.346
you're welcome	0.344
football club	0.344
put together	0.344
visiting hours	0.344
family tree	0.344
like magic	0.344
life support	0.344
adult male	0.344
move towards	0.344
point system	0.344
home equity	0.344
action film	0.344
all-star game	0.344
problem solver	0.344
tip top	0.344
building code	0.344
on schedule	0.344
sports team	0.344
caramel apple	0.344
pirate ship	0.344
best chance	0.344
public officials	0.344
plane ticket	0.344
tall buildings	0.344
goodness gracious	0.344
liability insurance	0.344
general election	0.344
front page	0.344
good faith	0.344
in conclusion	0.344
good show	0.344
martial artist	0.344
bring on	0.344
horse race	0.344
on occasion	0.344
first thing	0.344
futures contract	0.344
level headed	0.344
bright light	0.344
capitol building	0.344
good life	0.344
stand up	0.344
friends with	0.344
white supremacy	0.344
background music	0.344
federal holiday	0.344
virtual world	0.344
mountain lion	0.344
popular opinion	0.344
security clearance	0.344
jet engine	0.344
raise funds	0.344
human right	0.344
training program	0.344
cash register	0.344
building block	0.344
first quarter	0.344
social life	0.344
pretty sure	0.344
home court	0.344
five star	0.344
moral compass	0.344
take forever	0.342
deserving of	0.342
take action	0.342
number one	0.342
straight forward	0.342
own up	0.340
pay up	0.340
huge number	0.334
rising star	0.334
tall man	0.334
contact sport	0.334
thumbs up	0.334
art class	0.334
white person	0.334
apartment building	0.334
medical history	0.334
exhibition game	0.334
main concern	0.334
bright lights	0.334
alphabetical order	0.334
public sale	0.334
connecting flight	0.334
bright side	0.334
extra innings	0.334
lead character	0.334
let's go	0.334
gang member	0.334
stationary bike	0.334
annual meeting	0.334
under control	0.334
home improvement	0.334
character actor	0.334
spring water	0.334
rise above	0.334
trade up	0.334
military action	0.334
safe passage	0.334
full grown	0.334
immune response	0.334
honest truth	0.334
community college	0.334
shooting guard	0.334
head game	0.334
chess game	0.334
somewhat positive	0.334
software company	0.334
smart thing	0.334
come alive	0.334
rich kids	0.334
virtual reality	0.334
customer relations	0.334
iron man	0.334
law professor	0.334
social gathering	0.334
food processor	0.334
front runner	0.334
face value	0.334
full throttle	0.334
biological father	0.334
wedding gift	0.334
mountain bike	0.334
join forces	0.334
whole thing	0.334
consumer goods	0.334
team member	0.334
special education	0.334
carbon capture	0.334
credit score	0.334
web page	0.334
monetary value	0.334
talking point	0.334
electrical grid	0.334
driving license	0.334
crowd control	0.334
skill set	0.334
getting even	0.334
cruise control	0.334
profit from	0.334
live by	0.334
go well	0.334
health center	0.334
classic rock	0.328
embark on	0.326
wedding anniversary	0.326
damn straight	0.326
old fashioned	0.326
second nature	0.324
public trust	0.324
brand name	0.324
go forward	0.322
video conferencing	0.322
senate race	0.322
private practice	0.322
school year	0.322
high up	0.322
come forward	0.322
mash up	0.322
upper hand	0.322
eye contact	0.322
great place	0.322
playing cards	0.322
scheduled maintenance	0.322
get information	0.322
well earned	0.322
police chief	0.322
hockey player	0.322
student union	0.322
main stage	0.322
american english	0.322
smile on	0.322
american way	0.322
greek mythology	0.322
research paper	0.322
get attention	0.322
have respect	0.322
going on	0.322
work on	0.322
thought police	0.322
administrative assistant	0.322
smart man	0.322
opera house	0.322
love-hate relationship	0.322
tight race	0.322
constructive criticism	0.322
intellectual property	0.322
game changer	0.322
goose bumps	0.322
look sharp	0.322
listen up	0.322
school system	0.322
space station	0.322
risk management	0.322
representative democracy	0.322
gold rush	0.322
internet explorer	0.322
emotional intelligence	0.322
opening sequence	0.322
point man	0.322
count for	0.322
air freshener	0.322
best friend	0.322
fun activities	0.322
foreign policy	0.322
powerpoint presentation	0.322
strong winds	0.322
world view	0.322
straight line	0.322
public property	0.322
running game	0.322
arcade game	0.322
house warming	0.322
election day	0.320
a lot	0.320
sports car	0.319
first edition	0.318
field work	0.316
rearview mirror	0.316
show time	0.314
capital gain	0.312
graphic design	0.312
hockey team	0.312
state university	0.312
power plant	0.312
catholic church	0.312
labor movement	0.312
driver's seat	0.310
bank balance	0.310
mind set	0.310
legal tender	0.310
world series	0.310
love story	0.310
pretty good	0.310
platinum blonde	0.310
sky diving	0.310
parent company	0.310
team spirit	0.310
working class	0.310
big deal	0.310
horse racing	0.310
go together	0.310
north star	0.310
flying colors	0.310
voice actor	0.310
match against	0.310
give thanks	0.310
married man	0.310
great anticipation	0.310
military force	0.310
personal data	0.310
wall in	0.310
eternal life	0.310
general manager	0.310
booster dose	0.310
good example	0.310
status symbol	0.310
morning glory	0.310
cocktail party	0.310
earn money	0.310
social services	0.310
prepare for	0.310
done deal	0.310
wage increase	0.310
perfect pitch	0.310
love life	0.310
me thinks	0.310
carry with	0.310
mount everest	0.310
feature film	0.310
stay together	0.310
dance floor	0.310
opportunity cost	0.310
sporting event	0.310
new money	0.310
emergency medicine	0.310
directly proportional	0.310
fan base	0.310
western civilization	0.310
baseball field	0.310
whole food	0.310
state school	0.310
life style	0.310
local government	0.310
money machine	0.310
high horse	0.310
high ground	0.310
business expense	0.308
ball club	0.308
political correctness	0.308
large scale	0.308
professional baseball	0.308
postal code	0.308
play tennis	0.308
early warning	0.308
my goodness	0.308
iron maiden	0.308
clear evidence	0.308
licence plate	0.308
think ahead	0.308
local authorities	0.308
take over	0.308
facial recognition	0.308
father figure	0.308
dancing around	0.306
make money	0.306
silver lining	0.306
own goal	0.306
wish list	0.304
gain in	0.300
fresh start	0.300
test match	0.300
right arm	0.300
mutual aid	0.300
trade in	0.300
prime number	0.300
package deal	0.300
high fidelity	0.300
student teaching	0.300
grow on	0.300
private equity	0.300
whole family	0.300
live through	0.300
full price	0.300
harvest moon	0.300
operating costs	0.300
court house	0.300
iron skillet	0.300
personal life	0.300
bachelor party	0.300
come home	0.300
high stakes	0.300
trump card	0.300
guardian angel	0.300
registered nurse	0.300
follow me	0.300
common cause	0.300
soccer ball	0.300
arm wrestling	0.300
very fast	0.300
business casual	0.300
interest rate	0.300
paid vacation	0.300
ancient history	0.300
in demand	0.300
social status	0.300
community center	0.300
beach volleyball	0.300
drama series	0.300
modern world	0.300
paying attention	0.300
max out	0.300
household income	0.300
graduate student	0.300
live music	0.300
health service	0.300
lead singer	0.300
coffee beans	0.300
open house	0.300
mutual friend	0.300
soft skills	0.300
grown up	0.300
fire power	0.300
you're right	0.300
pharmaceutical company	0.300
chocolate chip	0.300
keep away	0.300
computer science	0.300
airport terminal	0.300
identify with	0.300
kind regards	0.300
partner up	0.300
human body	0.300
love ya	0.300
good lord	0.300
football game	0.300
personal assistant	0.300
true self	0.300
mission statement	0.300
mob rule	0.300
at present	0.300
front office	0.300
familiar with	0.300
consumer protection	0.300
work force	0.300
tax policy	0.300
primary care	0.300
present tense	0.298
concession stand	0.298
gold standard	0.296
drawing tablet	0.296
whole heartedly	0.296
show business	0.296
catholic school	0.296
at first	0.296
tall guy	0.296
grow to	0.296
time travel	0.296
operate on	0.296
bulletproof vest	0.296
voting booth	0.296
physical body	0.296
fair question	0.296
own medicine	0.296
in front	0.296
golden ticket	0.296
new age	0.296
foreign exchange	0.294
test drive	0.294
aircraft carrier	0.294
free from	0.294
ready for	0.294
long tail	0.294
king snake	0.294
group meeting	0.292
whole world	0.292
laundry detergent	0.292
jump shot	0.292
fighting spirit	0.290
container ship	0.290
active list	0.290
luxury tax	0.290
very nice	0.290
worth it	0.290
hard money	0.290
health food	0.290
several states	0.290
federal party	0.290
fire truck	0.290
green party	0.290
big boy	0.290
real estate	0.290
academic year	0.290
wedding party	0.290
full circle	0.290
lightning strike	0.290
informed consent	0.290
talk show	0.290
city manager	0.290
social worker	0.290
build up	0.290
physical therapy	0.290
rock solid	0.290
one hundred	0.290
magic wand	0.290
work time	0.290
growth rate	0.290
enter for	0.290
vested interest	0.290
personal care	0.290
straight ahead	0.290
software architect	0.290
run rampant	0.290
remote control	0.290
close relationship	0.290
fantasy world	0.290
you wish	0.290
wise up	0.290
locally owned	0.290
public square	0.290
pure luck	0.288
our father	0.288
tidal wave	0.288
global warming	0.286
human rights	0.286
art history	0.286
job training	0.286
raise up	0.286
tag team	0.286
conspiracy theory	0.286
christian church	0.286
white power	0.286
art gallery	0.286
main street	0.286
front foot	0.286
office space	0.286
star wars	0.286
new generation	0.286
come round	0.286
day trip	0.286
act upon	0.286
thanksgiving day	0.286
go through	0.286
stocked with	0.286
engage in	0.286
love letter	0.286
at work	0.286
treat to	0.286
city center	0.286
stage name	0.286
hidden gem	0.286
keep coming	0.286
medical science	0.286
god knows	0.286
fun day	0.286
give credit	0.286
designated driver	0.286
whole body	0.286
body armor	0.286
traffic control	0.286
self esteem	0.286
wedding reception	0.286
make peace	0.286
center field	0.286
in peace	0.286
fine tuning	0.284
crown jewel	0.284
organized religion	0.282
french teacher	0.282
wild animal	0.282
second coming	0.282
capital punishment	0.282
fast track	0.282
class act	0.282
space race	0.282
macho man	0.282
huge impact	0.282
nobel prize	0.282
have young	0.280
stretching it	0.280
united front	0.280
strong support	0.280
regime change	0.280
white chocolate	0.280
nuclear energy	0.276
earth shattering	0.276
goal difference	0.276
heavy metal	0.276
damage control	0.276
key component	0.276
white horse	0.276
lace up	0.276
put through	0.276
garden city	0.276
bulletin board	0.276
cage match	0.276
tropical storm	0.276
safe place	0.276
travel insurance	0.276
finger pointing	0.276
real world	0.276
birth certificate	0.276
be yourself	0.276
family reunion	0.276
firing range	0.276
minister to	0.276
clean energy	0.276
new edition	0.276
charge nurse	0.276
profit margin	0.276
ancient rome	0.276
make fun	0.276
college degree	0.276
follow up	0.276
coffee mug	0.276
self discipline	0.276
butterfly effect	0.276
straight edge	0.276
free thinker	0.276
fire service	0.276
soul food	0.276
good afternoon	0.276
big city	0.276
show respect	0.276
get around	0.276
triple crown	0.276
calendar year	0.276
white christmas	0.276
country road	0.276
prep school	0.276
cayenne pepper	0.276
most especially	0.276
time series	0.276
gold mine	0.276
first step	0.276
radio station	0.276
good weather	0.276
roman empire	0.276
rock climbing	0.276
open book	0.276
space opera	0.276
plan ahead	0.276
have in	0.276
subscribe for	0.276
of necessity	0.276
local business	0.276
advisory board	0.276
stainless steel	0.276
cosmetic surgery	0.276
moderate surprise	0.274
good mood	0.274
eternally grateful	0.274
fund manager	0.272
pair up	0.272
practical nurse	0.272
advance poll	0.270
dressing up	0.270
line worker	0.270
party member	0.270
bang on	0.270
head first	0.270
extension cord	0.270
mint condition	0.270
secret weapon	0.270
family planning	0.270
good sense	0.270
under construction	0.270
police car	0.270
